IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.14.220,8443,8443,true,SIN,Asia Pacific,Singapore,102,2.38
152.67.200.231,443,443,true,SIN,Asia Pacific,Singapore,230,2.38
47.236.150.13,80,80,false,SIN,Asia Pacific,Singapore,133,2.32
8.219.191.110,8080,8080,false,SIN,Asia Pacific,Singapore,114,2.31
8.222.144.50,2087,2087,true,SIN,Asia Pacific,Singapore,107,2.22
47.236.205.188,80,80,false,SIN,Asia Pacific,Singapore,114,2.21
8.219.4.122,2053,2053,true,SIN,Asia Pacific,Singapore,111,2.20
54.169.152.207,2086,443,true,SIN,Asia Pacific,Singapore,112,2.14
47.237.95.13,8443,8443,true,SIN,Asia Pacific,Singapore,84,2.09
47.236.170.225,2087,2087,true,SIN,Asia Pacific,Singapore,93,2.05
47.236.180.51,2096,2096,true,SIN,Asia Pacific,Singapore,136,1.93
18.138.232.152,2053,443,true,SIN,Asia Pacific,Singapore,84,1.89
47.237.84.173,8080,8080,false,SIN,Asia Pacific,Singapore,81,1.82
47.237.0.31,8443,8443,true,SIN,Asia Pacific,Singapore,87,1.80
213.35.116.65,443,443,true,SIN,Asia Pacific,Singapore,230,1.74
13.228.170.74,443,443,true,SIN,Asia Pacific,Singapore,87,1.64
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,94,1.36
47.237.95.140,2052,2052,false,SIN,Asia Pacific,Singapore,89,1.32
47.236.118.216,2095,2095,false,SIN,Asia Pacific,Singapore,112,1.19
47.237.92.26,2053,2053,true,SIN,Asia Pacific,Singapore,95,0.70
47.236.254.120,2083,2083,true,SIN,Asia Pacific,Singapore,91,0.69
47.236.150.13,2053,2053,true,SIN,Asia Pacific,Singapore,86,0.65
13.212.204.68,80,80,false,SIN,Asia Pacific,Singapore,86,0.30
35.241.49.199,80,80,false,LAX,North America,Los Angeles,224,0.29
118.194.234.15,14500,443,true,SIN,Asia Pacific,Singapore,182,0.12
146.56.47.154,443,443,true,SIN,Asia Pacific,Singapore,251,0.11
47.236.17.193,2095,2095,false,SIN,Asia Pacific,Singapore,108,0.00
175.41.130.169,443,443,true,SIN,Asia Pacific,Singapore,82,0.00
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,115,0.00
47.236.144.196,80,80,false,SIN,Asia Pacific,Singapore,115,0.00
8.222.208.38,2095,2095,false,SIN,Asia Pacific,Singapore,112,0.00
8.219.142.191,80,80,false,SIN,Asia Pacific,Singapore,110,0.00
8.222.181.139,443,443,true,SIN,Asia Pacific,Singapore,74,0.00
34.80.222.225,80,443,false,SIN,Asia Pacific,Singapore,61,0.00
47.237.94.140,2086,2086,false,SIN,Asia Pacific,Singapore,83,0.00
8.219.198.139,2082,2082,false,SIN,Asia Pacific,Singapore,113,0.00
43.156.181.203,443,443,true,SIN,Asia Pacific,Singapore,90,0.00
